fused_feature	layer	original_feature	fold
METH__feature_178297	DNA methylation	feature_178297	5
METH__feature_319168	DNA methylation	feature_319168	5
METH__RPL36A.10	DNA methylation	RPL36A.10	5
METH__FGFR2.46	DNA methylation	FGFR2.46	5
METH__CRB2.19	DNA methylation	CRB2.19	5
METH__KCNH2.36	DNA methylation	KCNH2.36	5
METH__MAP7D3.13	DNA methylation	MAP7D3.13	5
METH__CLDN10.9	DNA methylation	CLDN10.9	5
METH__GALNT9	DNA methylation	GALNT9	5
METH__HMGB3.14	DNA methylation	HMGB3.14	5
METH__ZNF154.6	DNA methylation	ZNF154.6	5
METH__MFSD2B.1	DNA methylation	MFSD2B.1	5
METH__C12orf56.10	DNA methylation	C12orf56.10	5
METH__RADIL.49	DNA methylation	RADIL.49	5
METH__feature_195797	DNA methylation	feature_195797	5
METH__DLX5.32	DNA methylation	DLX5.32	5
METH__feature_270230	DNA methylation	feature_270230	5
METH__PTPRN2.236	DNA methylation	PTPRN2.236	5
METH__feature_388637	DNA methylation	feature_388637	5
METH__NOTCH4.21	DNA methylation	NOTCH4.21	5
METH__FOXI2.18	DNA methylation	FOXI2.18	5
METH__OBP2A	DNA methylation	OBP2A	5
METH__DGKK.2	DNA methylation	DGKK.2	5
METH__UCKL1.5	DNA methylation	UCKL1.5	5
METH__FAM3A.11	DNA methylation	FAM3A.11	5
METH__KCNIP4.31	DNA methylation	KCNIP4.31	5
METH__feature_385612	DNA methylation	feature_385612	5
METH__MEIS1.42	DNA methylation	MEIS1.42	5
METH__CC2D1A;C19orf57.3	DNA methylation	CC2D1A;C19orf57.3	5
METH__MMP23B;MMP23A.2	DNA methylation	MMP23B;MMP23A.2	5
METH__ACSF2;CHAD	DNA methylation	ACSF2;CHAD	5
METH__POU3F4.10	DNA methylation	POU3F4.10	5
METH__NGFRAP1.4	DNA methylation	NGFRAP1.4	5
METH__ISL2.23	DNA methylation	ISL2.23	5
METH__CCDC154.12	DNA methylation	CCDC154.12	5
METH__ESYT3.4	DNA methylation	ESYT3.4	5
METH__RADIL.37	DNA methylation	RADIL.37	5
METH__TSHZ3.7	DNA methylation	TSHZ3.7	5
METH__feature_127360	DNA methylation	feature_127360	5
METH__feature_210791	DNA methylation	feature_210791	5
METH__GATA5.5	DNA methylation	GATA5.5	5
METH__feature_19067	DNA methylation	feature_19067	5
METH__RASAL1.24	DNA methylation	RASAL1.24	5
METH__CXCL5.9	DNA methylation	CXCL5.9	5
METH__IGF2BP1.19	DNA methylation	IGF2BP1.19	5
METH__feature_322211	DNA methylation	feature_322211	5
METH__feature_209476	DNA methylation	feature_209476	5
METH__CCDC160.8	DNA methylation	CCDC160.8	5
METH__ZNF135.5	DNA methylation	ZNF135.5	5
METH__HOXD13.4	DNA methylation	HOXD13.4	5
METH__HIST1H1A.2	DNA methylation	HIST1H1A.2	5
METH__GFPT2.2	DNA methylation	GFPT2.2	5
METH__OTUD5	DNA methylation	OTUD5	5
METH__UTRN.13	DNA methylation	UTRN.13	5
METH__RCN3.8	DNA methylation	RCN3.8	5
METH__VSTM2A.16	DNA methylation	VSTM2A.16	5
METH__RAMP1.19	DNA methylation	RAMP1.19	5
METH__SLC6A18.28	DNA methylation	SLC6A18.28	5
METH__TCERG1L.30	DNA methylation	TCERG1L.30	5
METH__GNL3L.4	DNA methylation	GNL3L.4	5
METH__feature_132842	DNA methylation	feature_132842	5
METH__feature_237721	DNA methylation	feature_237721	5
METH__feature_328462	DNA methylation	feature_328462	5
METH__GTF2A1L;STON1-GTF2A1L.1	DNA methylation	GTF2A1L;STON1-GTF2A1L.1	5
METH__HNF1B.1	DNA methylation	HNF1B.1	5
METH__GTF2A1L;STON1-GTF2A1L.8	DNA methylation	GTF2A1L;STON1-GTF2A1L.8	5
METH__feature_199862	DNA methylation	feature_199862	5
METH__feature_36420	DNA methylation	feature_36420	5
METH__MECOM.42	DNA methylation	MECOM.42	5
METH__CYP26A1.16	DNA methylation	CYP26A1.16	5
METH__feature_338814	DNA methylation	feature_338814	5
METH__SOX2OT.51	DNA methylation	SOX2OT.51	5
METH__GDF6.10	DNA methylation	GDF6.10	5
METH__feature_279052	DNA methylation	feature_279052	5
METH__feature_304948	DNA methylation	feature_304948	5
METH__TBKBP1.13	DNA methylation	TBKBP1.13	5
METH__NRXN2.76	DNA methylation	NRXN2.76	5
METH__CCL11.4	DNA methylation	CCL11.4	5
METH__HIST1H2AA;HIST1H2BA.6	DNA methylation	HIST1H2AA;HIST1H2BA.6	5
METH__feature_151786	DNA methylation	feature_151786	5
METH__feature_334708	DNA methylation	feature_334708	5
METH__feature_112436	DNA methylation	feature_112436	5
METH__NPHS2.3	DNA methylation	NPHS2.3	5
METH__GPR162.8	DNA methylation	GPR162.8	5
METH__feature_298714	DNA methylation	feature_298714	5
METH__GRIA3.4	DNA methylation	GRIA3.4	5
METH__feature_206655	DNA methylation	feature_206655	5
METH__LOC100133612.11	DNA methylation	LOC100133612.11	5
METH__SYN1.9	DNA methylation	SYN1.9	5
METH__GPR123.35	DNA methylation	GPR123.35	5
METH__EVX2.3	DNA methylation	EVX2.3	5
METH__GATA2.3	DNA methylation	GATA2.3	5
METH__feature_270750	DNA methylation	feature_270750	5
METH__HTR4.7	DNA methylation	HTR4.7	5
METH__EPHX3.8	DNA methylation	EPHX3.8	5
METH__ADARB2.260	DNA methylation	ADARB2.260	5
METH__feature_132165	DNA methylation	feature_132165	5
METH__EDAR.17	DNA methylation	EDAR.17	5
METH__TJP2.1	DNA methylation	TJP2.1	5
METH__FOXK1.53	DNA methylation	FOXK1.53	5
METH__feature_8953	DNA methylation	feature_8953	5
METH__SRPK3.7	DNA methylation	SRPK3.7	5
METH__C17orf104.2	DNA methylation	C17orf104.2	5
METH__feature_168414	DNA methylation	feature_168414	5
METH__CCDC40.23	DNA methylation	CCDC40.23	5
METH__feature_22500	DNA methylation	feature_22500	5
METH__FAM104B.4	DNA methylation	FAM104B.4	5
METH__feature_64788	DNA methylation	feature_64788	5
METH__UCN3.5	DNA methylation	UCN3.5	5
METH__HIST1H3F;HIST1H2BH.3	DNA methylation	HIST1H3F;HIST1H2BH.3	5
METH__MCHR2.7	DNA methylation	MCHR2.7	5
METH__C1orf159.44	DNA methylation	C1orf159.44	5
METH__VSTM2B.10	DNA methylation	VSTM2B.10	5
METH__SCML1.9	DNA methylation	SCML1.9	5
METH__feature_327719	DNA methylation	feature_327719	5
METH__feature_298863	DNA methylation	feature_298863	5
METH__PRDX4.2	DNA methylation	PRDX4.2	5
METH__FAM43A.2	DNA methylation	FAM43A.2	5
METH__feature_92777	DNA methylation	feature_92777	5
METH__MOSPD2;FANCB.2	DNA methylation	MOSPD2;FANCB.2	5
METH__MPP1.1	DNA methylation	MPP1.1	5
METH__FOXI1.7	DNA methylation	FOXI1.7	5
METH__LCK.12	DNA methylation	LCK.12	5
METH__CYTH2.3	DNA methylation	CYTH2.3	5
METH__LRP5.47	DNA methylation	LRP5.47	5
METH__feature_256846	DNA methylation	feature_256846	5
METH__PARP15.7	DNA methylation	PARP15.7	5
METH__IGF2BP1.30	DNA methylation	IGF2BP1.30	5
METH__OPCML.1	DNA methylation	OPCML.1	5
METH__feature_330562	DNA methylation	feature_330562	5
METH__SH3PXD2A.64	DNA methylation	SH3PXD2A.64	5
METH__MIR155HG.3	DNA methylation	MIR155HG.3	5
METH__feature_103815	DNA methylation	feature_103815	5
METH__feature_18081	DNA methylation	feature_18081	5
METH__ENDOD1.11	DNA methylation	ENDOD1.11	5
METH__feature_68018	DNA methylation	feature_68018	5
METH__MAST1.11	DNA methylation	MAST1.11	5
METH__PTPRN2.865	DNA methylation	PTPRN2.865	5
METH__feature_367703	DNA methylation	feature_367703	5
METH__PTPRN2.273	DNA methylation	PTPRN2.273	5
METH__feature_130286	DNA methylation	feature_130286	5
METH__feature_204320	DNA methylation	feature_204320	5
METH__GNAL.40	DNA methylation	GNAL.40	5
METH__HOXC5;HOXC4;HOXC6.9	DNA methylation	HOXC5;HOXC4;HOXC6.9	5
METH__RNMTL1	DNA methylation	RNMTL1	5
METH__feature_57634	DNA methylation	feature_57634	5
METH__feature_70287	DNA methylation	feature_70287	5
METH__C22orf9.10	DNA methylation	C22orf9.10	5
METH__feature_357852	DNA methylation	feature_357852	5
METH__HOXC4.10	DNA methylation	HOXC4.10	5
METH__C7.2	DNA methylation	C7.2	5
METH__MAGEH1.5	DNA methylation	MAGEH1.5	5
METH__EVI2B;NF1	DNA methylation	EVI2B;NF1	5
METH__feature_136536	DNA methylation	feature_136536	5
METH__TRIM36.14	DNA methylation	TRIM36.14	5
METH__FAM50A.6	DNA methylation	FAM50A.6	5
METH__DCAF12L2.4	DNA methylation	DCAF12L2.4	5
METH__feature_121530	DNA methylation	feature_121530	5
METH__HNRNPF.9	DNA methylation	HNRNPF.9	5
METH__CACNA1A.32	DNA methylation	CACNA1A.32	5
METH__C3orf16.2	DNA methylation	C3orf16.2	5
METH__WT1;WIT1.8	DNA methylation	WT1;WIT1.8	5
METH__DLX1.1	DNA methylation	DLX1.1	5
METH__IRS4.6	DNA methylation	IRS4.6	5
METH__TNFAIP8L3.7	DNA methylation	TNFAIP8L3.7	5
METH__HOOK2.9	DNA methylation	HOOK2.9	5
METH__feature_228379	DNA methylation	feature_228379	5
METH__feature_299788	DNA methylation	feature_299788	5
METH__ONECUT1.11	DNA methylation	ONECUT1.11	5
METH__KLF13.3	DNA methylation	KLF13.3	5
METH__GATA6.25	DNA methylation	GATA6.25	5
METH__feature_176573	DNA methylation	feature_176573	5
METH__SGK1.8	DNA methylation	SGK1.8	5
METH__feature_212146	DNA methylation	feature_212146	5
METH__feature_69329	DNA methylation	feature_69329	5
METH__ZIC3.8	DNA methylation	ZIC3.8	5
METH__C1orf69.11	DNA methylation	C1orf69.11	5
METH__MST4.11	DNA methylation	MST4.11	5
METH__EBF1.13	DNA methylation	EBF1.13	5
METH__feature_202443	DNA methylation	feature_202443	5
METH__feature_199545	DNA methylation	feature_199545	5
METH__SOX2OT.48	DNA methylation	SOX2OT.48	5
METH__ZCCHC14.30	DNA methylation	ZCCHC14.30	5
METH__NXPH4.9	DNA methylation	NXPH4.9	5
METH__C9orf167.17	DNA methylation	C9orf167.17	5
METH__ADAMTS16.6	DNA methylation	ADAMTS16.6	5
METH__feature_158435	DNA methylation	feature_158435	5
METH__SKAP1.7	DNA methylation	SKAP1.7	5
METH__SCFD2.3	DNA methylation	SCFD2.3	5
METH__feature_61769	DNA methylation	feature_61769	5
METH__BTBD9.11	DNA methylation	BTBD9.11	5
METH__C2orf74.7	DNA methylation	C2orf74.7	5
METH__KNDC1.55	DNA methylation	KNDC1.55	5
METH__HCCS.7	DNA methylation	HCCS.7	5
METH__feature_107844	DNA methylation	feature_107844	5
METH__SOX3.2	DNA methylation	SOX3.2	5
METH__DCAF12L1.12	DNA methylation	DCAF12L1.12	5
METH__NAPRT1.9	DNA methylation	NAPRT1.9	5
METH__ADARB2.112	DNA methylation	ADARB2.112	5
METH__feature_258462	DNA methylation	feature_258462	5
METH__feature_119736	DNA methylation	feature_119736	5
METH__feature_88669	DNA methylation	feature_88669	5
METH__LHX5.19	DNA methylation	LHX5.19	5
METH__JAKMIP3.68	DNA methylation	JAKMIP3.68	5
METH__DTNBP1.19	DNA methylation	DTNBP1.19	5
METH__feature_175121	DNA methylation	feature_175121	5
METH__PAX8;LOC654433;LOC440839.12	DNA methylation	PAX8;LOC654433;LOC440839.12	5
METH__TNXB.59	DNA methylation	TNXB.59	5
METH__DUSP9.10	DNA methylation	DUSP9.10	5
METH__PTPRN2.979	DNA methylation	PTPRN2.979	5
METH__PRPS2.6	DNA methylation	PRPS2.6	5
METH__feature_292944	DNA methylation	feature_292944	5
METH__TNXB.22	DNA methylation	TNXB.22	5
METH__feature_150549	DNA methylation	feature_150549	5
METH__BRUNOL4.6	DNA methylation	BRUNOL4.6	5
METH__C1orf70.17	DNA methylation	C1orf70.17	5
METH__SMOC2.77	DNA methylation	SMOC2.77	5
METH__PNMAL2.15	DNA methylation	PNMAL2.15	5
METH__feature_278062	DNA methylation	feature_278062	5
METH__ATP11A.41	DNA methylation	ATP11A.41	5
METH__ADHFE1.15	DNA methylation	ADHFE1.15	5
METH__GRASP.4	DNA methylation	GRASP.4	5
METH__COL22A1.3	DNA methylation	COL22A1.3	5
METH__feature_289019	DNA methylation	feature_289019	5
METH__PDK3.8	DNA methylation	PDK3.8	5
METH__EPS8L1.13	DNA methylation	EPS8L1.13	5
METH__feature_380882	DNA methylation	feature_380882	5
METH__feature_45787	DNA methylation	feature_45787	5
METH__feature_36011	DNA methylation	feature_36011	5
METH__feature_98954	DNA methylation	feature_98954	5
METH__feature_219341	DNA methylation	feature_219341	5
METH__HOTAIR.11	DNA methylation	HOTAIR.11	5
METH__feature_376387	DNA methylation	feature_376387	5
METH__SFRP5.16	DNA methylation	SFRP5.16	5
METH__feature_45890	DNA methylation	feature_45890	5
METH__feature_231946	DNA methylation	feature_231946	5
METH__feature_213201	DNA methylation	feature_213201	5
METH__GPR50.10	DNA methylation	GPR50.10	5
METH__LMNB2;TIMM13.2	DNA methylation	LMNB2;TIMM13.2	5
METH__feature_103652	DNA methylation	feature_103652	5
METH__feature_208887	DNA methylation	feature_208887	5
METH__feature_138701	DNA methylation	feature_138701	5
METH__feature_329906	DNA methylation	feature_329906	5
METH__FGF12.19	DNA methylation	FGF12.19	5
METH__feature_213856	DNA methylation	feature_213856	5
METH__KIAA1949.12	DNA methylation	KIAA1949.12	5
METH__FAM181B.9	DNA methylation	FAM181B.9	5
METH__feature_44347	DNA methylation	feature_44347	5
METH__KNDC1.38	DNA methylation	KNDC1.38	5
METH__PM20D1.7	DNA methylation	PM20D1.7	5
METH__feature_211130	DNA methylation	feature_211130	5
METH__ZNF454.12	DNA methylation	ZNF454.12	5
METH__HCCA2;LOC402778.5	DNA methylation	HCCA2;LOC402778.5	5
METH__FMN2.33	DNA methylation	FMN2.33	5
METH__CFTR.8	DNA methylation	CFTR.8	5
METH__feature_223976	DNA methylation	feature_223976	5
METH__C17orf68	DNA methylation	C17orf68	5
METH__FLG2	DNA methylation	FLG2	5
METH__FLJ43663.23	DNA methylation	FLJ43663.23	5
METH__TGIF2LX.3	DNA methylation	TGIF2LX.3	5
METH__feature_17595	DNA methylation	feature_17595	5
METH__KRT7.11	DNA methylation	KRT7.11	5
METH__SCD5.17	DNA methylation	SCD5.17	5
METH__ZFP82.6	DNA methylation	ZFP82.6	5
METH__MIR193B.5	DNA methylation	MIR193B.5	5
METH__BEX4.1	DNA methylation	BEX4.1	5
METH__IGFL2.2	DNA methylation	IGFL2.2	5
METH__MUC5B.41	DNA methylation	MUC5B.41	5
METH__PDZD4.31	DNA methylation	PDZD4.31	5
METH__DSCAML1.32	DNA methylation	DSCAML1.32	5
METH__LRRC17;FBXL13.12	DNA methylation	LRRC17;FBXL13.12	5
METH__GCK.10	DNA methylation	GCK.10	5
METH__feature_261323	DNA methylation	feature_261323	5
METH__SYP.8	DNA methylation	SYP.8	5
METH__SCAMP4;ADAT3.14	DNA methylation	SCAMP4;ADAT3.14	5
METH__feature_342753	DNA methylation	feature_342753	5
METH__feature_351234	DNA methylation	feature_351234	5
METH__feature_165555	DNA methylation	feature_165555	5
METH__NTSR1.9	DNA methylation	NTSR1.9	5
METH__S100A11.5	DNA methylation	S100A11.5	5
METH__SFRP4.11	DNA methylation	SFRP4.11	5
METH__NR2E1.23	DNA methylation	NR2E1.23	5
METH__ADAMTS16.34	DNA methylation	ADAMTS16.34	5
METH__feature_354591	DNA methylation	feature_354591	5
METH__feature_121680	DNA methylation	feature_121680	5
METH__ISL1.1	DNA methylation	ISL1.1	5
METH__CARD14.14	DNA methylation	CARD14.14	5
METH__ATP6AP1.2	DNA methylation	ATP6AP1.2	5
METH__MFHAS1.11	DNA methylation	MFHAS1.11	5
METH__ZNF177.8	DNA methylation	ZNF177.8	5
METH__KCNQ2.59	DNA methylation	KCNQ2.59	5
METH__feature_142929	DNA methylation	feature_142929	5
METH__TFAP2A.47	DNA methylation	TFAP2A.47	5
METH__ZNF582.5	DNA methylation	ZNF582.5	5
METH__SLC17A9.17	DNA methylation	SLC17A9.17	5
METH__PRRT1.15	DNA methylation	PRRT1.15	5
METH__NR0B1.9	DNA methylation	NR0B1.9	5
METH__GRWD1;GRIN2D	DNA methylation	GRWD1;GRIN2D	5
METH__feature_69831	DNA methylation	feature_69831	5
METH__FLJ45983;GATA3.23	DNA methylation	FLJ45983;GATA3.23	5
METH__XRCC3.19	DNA methylation	XRCC3.19	5
METH__PAK1.6	DNA methylation	PAK1.6	5
METH__LRP12.11	DNA methylation	LRP12.11	5
METH__feature_317194	DNA methylation	feature_317194	5
METH__feature_87473	DNA methylation	feature_87473	5
METH__C5orf38	DNA methylation	C5orf38	5
METH__OXT.5	DNA methylation	OXT.5	5
METH__feature_131267	DNA methylation	feature_131267	5
METH__MIR205HG;MIR205.1	DNA methylation	MIR205HG;MIR205.1	5
METH__feature_41932	DNA methylation	feature_41932	5
METH__feature_390581	DNA methylation	feature_390581	5
METH__MGRN1.8	DNA methylation	MGRN1.8	5
METH__feature_16706	DNA methylation	feature_16706	5
METH__MTM1.6	DNA methylation	MTM1.6	5
METH__HN1.10	DNA methylation	HN1.10	5
METH__PTPRN2.879	DNA methylation	PTPRN2.879	5
METH__ACCN1.28	DNA methylation	ACCN1.28	5
METH__CDH11.17	DNA methylation	CDH11.17	5
METH__MRPS15.6	DNA methylation	MRPS15.6	5
METH__TPSD1.4	DNA methylation	TPSD1.4	5
METH__feature_181931	DNA methylation	feature_181931	5
METH__MDGA2.4	DNA methylation	MDGA2.4	5
METH__feature_26099	DNA methylation	feature_26099	5
METH__SFRS8.4	DNA methylation	SFRS8.4	5
METH__ADARB2.92	DNA methylation	ADARB2.92	5
METH__MSI2.74	DNA methylation	MSI2.74	5
METH__feature_12786	DNA methylation	feature_12786	5
METH__feature_88615	DNA methylation	feature_88615	5
METH__feature_264745	DNA methylation	feature_264745	5
METH__ADARB2.162	DNA methylation	ADARB2.162	5
METH__CPT1A.31	DNA methylation	CPT1A.31	5
METH__PRDM13.29	DNA methylation	PRDM13.29	5
METH__PAX6.68	DNA methylation	PAX6.68	5
METH__ALDH1L1.7	DNA methylation	ALDH1L1.7	5
METH__feature_23816	DNA methylation	feature_23816	5
METH__HLA-DPB1.26	DNA methylation	HLA-DPB1.26	5
METH__feature_137661	DNA methylation	feature_137661	5
METH__MAGED1.8	DNA methylation	MAGED1.8	5
METH__PARP15.4	DNA methylation	PARP15.4	5
METH__feature_19961	DNA methylation	feature_19961	5
METH__FERD3L.7	DNA methylation	FERD3L.7	5
METH__PTPRN2.136	DNA methylation	PTPRN2.136	5
METH__SHROOM4.4	DNA methylation	SHROOM4.4	5
METH__SLC1A3.21	DNA methylation	SLC1A3.21	5
METH__CACNA2D4.28	DNA methylation	CACNA2D4.28	5
METH__PRDM16.255	DNA methylation	PRDM16.255	5
METH__SIM1.16	DNA methylation	SIM1.16	5
METH__feature_68481	DNA methylation	feature_68481	5
METH__NRK.5	DNA methylation	NRK.5	5
METH__feature_332674	DNA methylation	feature_332674	5
METH__BNC1.5	DNA methylation	BNC1.5	5
METH__feature_362624	DNA methylation	feature_362624	5
METH__TTYH1.2	DNA methylation	TTYH1.2	5
METH__feature_227213	DNA methylation	feature_227213	5
METH__feature_1094	DNA methylation	feature_1094	5
METH__EMX1.10	DNA methylation	EMX1.10	5
METH__MOSPD2;FANCB.5	DNA methylation	MOSPD2;FANCB.5	5
METH__THY1.14	DNA methylation	THY1.14	5
METH__MIR663.3	DNA methylation	MIR663.3	5
METH__ZIC1.6	DNA methylation	ZIC1.6	5
METH__CACNA1A.33	DNA methylation	CACNA1A.33	5
METH__feature_146446	DNA methylation	feature_146446	5
METH__feature_278808	DNA methylation	feature_278808	5
METH__feature_43258	DNA methylation	feature_43258	5
METH__RPL39.3	DNA methylation	RPL39.3	5
METH__TWIST1.21	DNA methylation	TWIST1.21	5
METH__feature_390336	DNA methylation	feature_390336	5
METH__POU4F1.16	DNA methylation	POU4F1.16	5
METH__FOXK1.44	DNA methylation	FOXK1.44	5
METH__MYT1L.105	DNA methylation	MYT1L.105	5
METH__TNR.30	DNA methylation	TNR.30	5
METH__POU3F4.3	DNA methylation	POU3F4.3	5
METH__feature_97848	DNA methylation	feature_97848	5
METH__TBX20.11	DNA methylation	TBX20.11	5
METH__EMX2OS;EMX2.8	DNA methylation	EMX2OS;EMX2.8	5
METH__MIR129-2.1	DNA methylation	MIR129-2.1	5
METH__GALNT9.131	DNA methylation	GALNT9.131	5
METH__feature_341459	DNA methylation	feature_341459	5
METH__GPT.7	DNA methylation	GPT.7	5
METH__RBPMS.39	DNA methylation	RBPMS.39	5
METH__feature_104329	DNA methylation	feature_104329	5
METH__feature_284528	DNA methylation	feature_284528	5
METH__ZXDB.2	DNA methylation	ZXDB.2	5
METH__HDX.12	DNA methylation	HDX.12	5
METH__TRIM31.62	DNA methylation	TRIM31.62	5
METH__WDR45.19	DNA methylation	WDR45.19	5
METH__BEX1.9	DNA methylation	BEX1.9	5
METH__FCRL3.6	DNA methylation	FCRL3.6	5
METH__GPR108.19	DNA methylation	GPR108.19	5
METH__ALX1	DNA methylation	ALX1	5
METH__feature_257701	DNA methylation	feature_257701	5
METH__ACSL4.1	DNA methylation	ACSL4.1	5
METH__feature_265819	DNA methylation	feature_265819	5
METH__NPTX2.8	DNA methylation	NPTX2.8	5
METH__APBA2.4	DNA methylation	APBA2.4	5
METH__CETN2;NSDHL.12	DNA methylation	CETN2;NSDHL.12	5
METH__RBM38.2	DNA methylation	RBM38.2	5
METH__SNED1.17	DNA methylation	SNED1.17	5
METH__feature_373193	DNA methylation	feature_373193	5
METH__feature_12489	DNA methylation	feature_12489	5
METH__feature_158570	DNA methylation	feature_158570	5
METH__KCNC2.13	DNA methylation	KCNC2.13	5
METH__SOX2;SOX2OT.7	DNA methylation	SOX2;SOX2OT.7	5
METH__ABR	DNA methylation	ABR	5
METH__ISL2.19	DNA methylation	ISL2.19	5
METH__feature_150867	DNA methylation	feature_150867	5
METH__KIAA1908.3	DNA methylation	KIAA1908.3	5
METH__feature_312781	DNA methylation	feature_312781	5
METH__SOSTDC1.1	DNA methylation	SOSTDC1.1	5
METH__feature_194724	DNA methylation	feature_194724	5
METH__POM121L12.7	DNA methylation	POM121L12.7	5
METH__GREM2.7	DNA methylation	GREM2.7	5
METH__DSC3.13	DNA methylation	DSC3.13	5
METH__feature_136151	DNA methylation	feature_136151	5
METH__feature_116530	DNA methylation	feature_116530	5
METH__DCAF12L1.7	DNA methylation	DCAF12L1.7	5
METH__feature_71606	DNA methylation	feature_71606	5
METH__PTPRN2.609	DNA methylation	PTPRN2.609	5
METH__CUGBP2.11	DNA methylation	CUGBP2.11	5
METH__NHS.4	DNA methylation	NHS.4	5
METH__MAGI2.7	DNA methylation	MAGI2.7	5
METH__GCET2.6	DNA methylation	GCET2.6	5
METH__feature_82118	DNA methylation	feature_82118	5
METH__APC.25	DNA methylation	APC.25	5
METH__feature_9687	DNA methylation	feature_9687	5
METH__EBF3.144	DNA methylation	EBF3.144	5
METH__NKX1-2.5	DNA methylation	NKX1-2.5	5
METH__NKX2-2.13	DNA methylation	NKX2-2.13	5
METH__feature_369208	DNA methylation	feature_369208	5
METH__B3GNTL1.18	DNA methylation	B3GNTL1.18	5
METH__feature_356956	DNA methylation	feature_356956	5
METH__feature_256457	DNA methylation	feature_256457	5
METH__feature_178562	DNA methylation	feature_178562	5
METH__ANKRD45.4	DNA methylation	ANKRD45.4	5
METH__feature_236382	DNA methylation	feature_236382	5
METH__GATA4.35	DNA methylation	GATA4.35	5
METH__ELMO1.12	DNA methylation	ELMO1.12	5
METH__44631.16	DNA methylation	44631.16	5
METH__RIMBP2.92	DNA methylation	RIMBP2.92	5
METH__feature_228088	DNA methylation	feature_228088	5
METH__AJAP1.27	DNA methylation	AJAP1.27	5
METH__BHLHB9.15	DNA methylation	BHLHB9.15	5
METH__feature_265632	DNA methylation	feature_265632	5
METH__ME3.2	DNA methylation	ME3.2	5
METH__MECOM.49	DNA methylation	MECOM.49	5
METH__SPSB1.39	DNA methylation	SPSB1.39	5
METH__ZNF132.7	DNA methylation	ZNF132.7	5
METH__EID3;TXNRD1.3	DNA methylation	EID3;TXNRD1.3	5
METH__OTUD5.10	DNA methylation	OTUD5.10	5
METH__JDP2.1	DNA methylation	JDP2.1	5
METH__DBX1.11	DNA methylation	DBX1.11	5
METH__feature_131078	DNA methylation	feature_131078	5
METH__MRPL33.5	DNA methylation	MRPL33.5	5
METH__feature_383139	DNA methylation	feature_383139	5
METH__MUC1.9	DNA methylation	MUC1.9	5
METH__GAD2.15	DNA methylation	GAD2.15	5
METH__feature_26502	DNA methylation	feature_26502	5
METH__CNGA3.23	DNA methylation	CNGA3.23	5
METH__HMGB3.7	DNA methylation	HMGB3.7	5
METH__DLX6AS.20	DNA methylation	DLX6AS.20	5
METH__EDA.4	DNA methylation	EDA.4	5
METH__feature_133349	DNA methylation	feature_133349	5
METH__PTPRN2.405	DNA methylation	PTPRN2.405	5
METH__DYNC1I1.24	DNA methylation	DYNC1I1.24	5
METH__SCML2.3	DNA methylation	SCML2.3	5
METH__ISL2.17	DNA methylation	ISL2.17	5
METH__feature_197286	DNA methylation	feature_197286	5
METH__BCOR.88	DNA methylation	BCOR.88	5
METH__feature_190287	DNA methylation	feature_190287	5
METH__feature_190519	DNA methylation	feature_190519	5
METH__GRIA3.3	DNA methylation	GRIA3.3	5
METH__STARD8	DNA methylation	STARD8	5
METH__feature_237918	DNA methylation	feature_237918	5
METH__feature_132432	DNA methylation	feature_132432	5
METH__ATG4A;PSMD10.3	DNA methylation	ATG4A;PSMD10.3	5
METH__CBX2.17	DNA methylation	CBX2.17	5
METH__SACS.23	DNA methylation	SACS.23	5
METH__FOXK2.68	DNA methylation	FOXK2.68	5
METH__TBX5.12	DNA methylation	TBX5.12	5
METH__PTPRN2.227	DNA methylation	PTPRN2.227	5
METH__EID3;TXNRD1.2	DNA methylation	EID3;TXNRD1.2	5
METH__LOC440335;SEPT12.2	DNA methylation	LOC440335;SEPT12.2	5
METH__MOSPD2;FANCB.8	DNA methylation	MOSPD2;FANCB.8	5
METH__OTX2OS1.9	DNA methylation	OTX2OS1.9	5
METH__feature_206292	DNA methylation	feature_206292	5
METH__EMID2.18	DNA methylation	EMID2.18	5
METH__HOXB4.23	DNA methylation	HOXB4.23	5
METH__feature_3828	DNA methylation	feature_3828	5
METH__feature_318034	DNA methylation	feature_318034	5
METH__NKX2-3.9	DNA methylation	NKX2-3.9	5
METH__HLA-F.8	DNA methylation	HLA-F.8	5
METH__COL23A1.98	DNA methylation	COL23A1.98	5
METH__feature_326457	DNA methylation	feature_326457	5
METH__DMD.31	DNA methylation	DMD.31	5
METH__feature_349426	DNA methylation	feature_349426	5
METH__feature_153292	DNA methylation	feature_153292	5
METH__PKNOX2.5	DNA methylation	PKNOX2.5	5
METH__DIO3.4	DNA methylation	DIO3.4	5
METH__LPP.55	DNA methylation	LPP.55	5
METH__SLITRK4.19	DNA methylation	SLITRK4.19	5
METH__MDFI.1	DNA methylation	MDFI.1	5
METH__RADIL.38	DNA methylation	RADIL.38	5
METH__INSC.9	DNA methylation	INSC.9	5
METH__KLF14.5	DNA methylation	KLF14.5	5
METH__feature_160537	DNA methylation	feature_160537	5
METH__feature_139763	DNA methylation	feature_139763	5
METH__feature_180439	DNA methylation	feature_180439	5
METH__PHACTR1.17	DNA methylation	PHACTR1.17	5
METH__SHROOM4.6	DNA methylation	SHROOM4.6	5
METH__LRRC4;SND1.7	DNA methylation	LRRC4;SND1.7	5
