fused_feature	layer	original_feature	fold
mRNA__MUC21	mRNA	MUC21	1
mRNA__CPE	mRNA	CPE	1
mRNA__WSB1	mRNA	WSB1	1
mRNA__AZGP1	mRNA	AZGP1	1
mRNA__LMNA	mRNA	LMNA	1
mRNA__H1F0	mRNA	H1F0	1
mRNA__SERPINH1	mRNA	SERPINH1	1
mRNA__ARF1	mRNA	ARF1	1
mRNA__MMP10	mRNA	MMP10	1
mRNA__C1R	mRNA	C1R	1
mRNA__UPK1B	mRNA	UPK1B	1
mRNA__FSTL1	mRNA	FSTL1	1
mRNA__LGALS3	mRNA	LGALS3	1
mRNA__CLTC	mRNA	CLTC	1
mRNA__TMEM123	mRNA	TMEM123	1
mRNA__FGL1	mRNA	FGL1	1
mRNA__RPSAP58	mRNA	RPSAP58	1
mRNA__OAZ1	mRNA	OAZ1	1
mRNA__RPL36	mRNA	RPL36	1
mRNA__SOX2	mRNA	SOX2	1
mRNA__LTBP2	mRNA	LTBP2	1
mRNA__TSPAN13	mRNA	TSPAN13	1
mRNA__RNF213	mRNA	RNF213	1
mRNA__PARM1	mRNA	PARM1	1
mRNA__TNFAIP2	mRNA	TNFAIP2	1
mRNA__MMP7	mRNA	MMP7	1
mRNA__MSMB	mRNA	MSMB	1
mRNA__ADAM9	mRNA	ADAM9	1
mRNA__KLF5	mRNA	KLF5	1
mRNA__BHLHE40	mRNA	BHLHE40	1
mRNA__AMY1A	mRNA	AMY1A	1
mRNA__TUBB2C	mRNA	TUBB2C	1
mRNA__TALDO1	mRNA	TALDO1	1
mRNA__ASAH1	mRNA	ASAH1	1
mRNA__SLC25A5	mRNA	SLC25A5	1
mRNA__GLS	mRNA	GLS	1
mRNA__ALDH2	mRNA	ALDH2	1
mRNA__HDGF	mRNA	HDGF	1
mRNA__SLC7A2	mRNA	SLC7A2	1
mRNA__SPRR1B	mRNA	SPRR1B	1
mRNA__CRLF1	mRNA	CRLF1	1
mRNA__CXCL13	mRNA	CXCL13	1
mRNA__TXNDC5	mRNA	TXNDC5	1
mRNA__FOLR1	mRNA	FOLR1	1
mRNA__TM4SF4	mRNA	TM4SF4	1
mRNA__CAPNS1	mRNA	CAPNS1	1
mRNA__FAM129B	mRNA	FAM129B	1
mRNA__CLIC1	mRNA	CLIC1	1
mRNA__ATP11B	mRNA	ATP11B	1
mRNA__CRYAB	mRNA	CRYAB	1
mRNA__TMCO3	mRNA	TMCO3	1
mRNA__MYH14	mRNA	MYH14	1
mRNA__YWHAE	mRNA	YWHAE	1
mRNA__B4GALT1	mRNA	B4GALT1	1
mRNA__RPS29	mRNA	RPS29	1
mRNA__TMPRSS4	mRNA	TMPRSS4	1
mRNA__LMO7	mRNA	LMO7	1
mRNA__HNRNPA2B1	mRNA	HNRNPA2B1	1
mRNA__SCPEP1	mRNA	SCPEP1	1
mRNA__TAPBP	mRNA	TAPBP	1
mRNA__TSPAN1	mRNA	TSPAN1	1
mRNA__TAP1	mRNA	TAP1	1
mRNA__PTTG1IP	mRNA	PTTG1IP	1
mRNA__CD151	mRNA	CD151	1
mRNA__ALDH3A2	mRNA	ALDH3A2	1
mRNA__RDH10	mRNA	RDH10	1
mRNA__CST3	mRNA	CST3	1
mRNA__FAT1	mRNA	FAT1	1
mRNA__PDPN	mRNA	PDPN	1
mRNA__NPM1	mRNA	NPM1	1
mRNA__YWHAQ	mRNA	YWHAQ	1
mRNA__TRIM28	mRNA	TRIM28	1
mRNA__STMN1	mRNA	STMN1	1
mRNA__RRBP1	mRNA	RRBP1	1
