sample_id	layer	sample_mean	sample_sd	sample_missing_percent	subtype
TCGA-86-6851-01	mRNA	3017.33319702	14183.739538385418	0	LUAD
TCGA-86-7701-01	mRNA	2819.202457	7777.840383062942	0	LUAD
TCGA-86-7711-01	mRNA	3180.0519794	9396.506395338734	0	LUAD
TCGA-86-7713-01	mRNA	2688.78472448	6300.348697652704	0	LUAD
TCGA-86-7953-01	mRNA	2777.06697062	5394.1852858385255	0	LUAD
TCGA-86-7954-01	mRNA	2991.99416758	6356.948655153553	0	LUAD
TCGA-86-7955-01	mRNA	2800.68454502	5601.495538248541	0	LUAD
TCGA-86-8054-01	mRNA	3047.93240268	12359.690067865728	0	LUAD
TCGA-86-8055-01	mRNA	3121.04919338	8642.665464434835	0	LUAD
TCGA-86-8056-01	mRNA	2656.78202568	4761.481924956534	0	LUAD
TCGA-86-8073-01	mRNA	2831.85532296	5233.716113684828	0	LUAD
TCGA-86-8074-01	mRNA	2829.54669712	5755.520843992034	0	LUAD
TCGA-86-8075-01	mRNA	3011.58975834	7071.0226481033405	0	LUAD
TCGA-86-8076-01	mRNA	3437.4255893000004	15441.626984161718	0	LUAD
TCGA-86-8278-01	mRNA	3195.3734473599998	8915.010449862526	0	LUAD
TCGA-86-8279-01	mRNA	3000.78361126	6250.002615285363	0	LUAD
TCGA-86-8280-01	mRNA	3024.20433942	7971.0654012406885	0	LUAD
TCGA-86-8281-01	mRNA	3154.39676496	9732.27582222797	0	LUAD
TCGA-86-8358-01	mRNA	2408.07664006	5008.98281926538	0	LUAD
TCGA-86-8359-01	mRNA	3058.46303802	9104.634902068226	0	LUAD
TCGA-86-8585-01	mRNA	3070.07015452	7020.742414978432	0	LUAD
TCGA-86-8668-01	mRNA	3095.81949916	8890.848997655974	0	LUAD
TCGA-86-8669-01	mRNA	3093.15212566	9811.656153772616	0	LUAD
TCGA-86-8671-01	mRNA	3098.37865964	9719.751349605858	0	LUAD
TCGA-86-8673-01	mRNA	2888.01709132	6239.200188082674	0	LUAD
TCGA-86-A456-01	mRNA	2959.2407072	7616.80993948008	0	LUAD
TCGA-86-A4D0-01	mRNA	2771.9846470400003	5462.057191726469	0	LUAD
TCGA-86-A4JF-01	mRNA	3083.10296354	8720.476506278446	0	LUAD
TCGA-86-A4P7-01	mRNA	2778.37551842	7764.548100878062	0	LUAD
TCGA-86-A4P8-01	mRNA	2841.29690026	9278.959472932971	0	LUAD
TCGA-91-6828-01	mRNA	2823.84904878	6981.645072579556	0	LUAD
TCGA-91-6829-01	mRNA	2909.8645344799997	7769.920519354211	0	LUAD
TCGA-91-6830-01	mRNA	2964.87414408	5361.156036248798	0	LUAD
TCGA-91-6831-01	mRNA	2856.28078372	7401.260731790294	0	LUAD
TCGA-91-6835-01	mRNA	2785.71009434	6218.2319356146145	0	LUAD
TCGA-91-6836-01	mRNA	2826.59391634	5158.577984832227	0	LUAD
TCGA-91-6840-01	mRNA	3078.28044956	18001.220989157697	0	LUAD
TCGA-91-6847-01	mRNA	2673.28864394	6776.890161310329	0	LUAD
TCGA-91-6848-01	mRNA	2765.784181	6308.588811803261	0	LUAD
TCGA-91-6849-01	mRNA	3349.72959232	15203.00525487489	0	LUAD
TCGA-91-7771-01	mRNA	3155.84502548	8795.80022502995	0	LUAD
TCGA-91-8496-01	mRNA	4014.26567554	21489.241173009697	0	LUAD
TCGA-91-8497-01	mRNA	3076.7450341	13586.615410367422	0	LUAD
TCGA-91-8499-01	mRNA	2668.38847012	5254.611267461031	0	LUAD
TCGA-91-A4BC-01	mRNA	2851.84834918	12301.34754546957	0	LUAD
TCGA-91-A4BD-01	mRNA	4001.04808436	26964.63509735677	0	LUAD
TCGA-93-7348-01	mRNA	2917.57834492	7650.94930006991	0	LUAD
TCGA-93-A4JN-01	mRNA	2687.5865015199997	8792.843669734028	0	LUAD
TCGA-93-A4JO-01	mRNA	2837.61123856	6399.4378098470215	0	LUAD
TCGA-93-A4JP-01	mRNA	2752.51514094	7057.781857473595	0	LUAD
TCGA-93-A4JQ-01	mRNA	2920.4601842	7229.81399511982	0	LUAD
TCGA-95-7039-01	mRNA	3012.8430531	6621.406446530479	0	LUAD
TCGA-95-7043-01	mRNA	3041.8105410000003	13271.856696503437	0	LUAD
TCGA-95-7567-01	mRNA	3114.0668107	7967.51210708796	0	LUAD
TCGA-95-7944-01	mRNA	3200.20271562	7847.014770716372	0	LUAD
TCGA-95-7947-01	mRNA	2519.99339474	4380.769242233253	0	LUAD
TCGA-95-7948-01	mRNA	3036.0868525	6812.29904095929	0	LUAD
TCGA-95-A4VK-01	mRNA	2900.14589524	5879.2813569923055	0	LUAD
TCGA-95-A4VN-01	mRNA	2999.55489114	6386.358697185532	0	LUAD
TCGA-95-A4VP-01	mRNA	3060.29968548	10485.99308944052	0	LUAD
TCGA-97-7546-01	mRNA	2898.3794653	8505.365597755057	0	LUAD
TCGA-97-7552-01	mRNA	2965.398854	9594.711548942822	0	LUAD
TCGA-97-7553-01	mRNA	2986.80492056	10033.710088526585	0	LUAD
TCGA-97-7554-01	mRNA	3117.98100814	7717.570421446298	0	LUAD
TCGA-97-7937-01	mRNA	2694.56763404	4784.5222845975595	0	LUAD
