layer	component	feature	loading	abs_loading	selected	fold	model_label	integration	source
DNA methylation	1	CALML3.8	-0.1370106124842615	0.1370106124842615	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	KIF26B.13	-0.13441973655095954	0.13441973655095954	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_89067	-0.13396536020338	0.13396536020338	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TPM3;NUP210L	0.13174109959343624	0.13174109959343624	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_212134	0.12940506663761778	0.12940506663761778	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	CUGBP2.12	-0.12681935378464704	0.12681935378464704	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TRIP13.10	-0.12609591690069766	0.12609591690069766	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_182338	0.125891544149621	0.125891544149621	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	CALML3.5	-0.12359408221620465	0.12359408221620465	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	CSNK1D.5	0.120267823349421	0.120267823349421	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_6911	-0.11974009413090421	0.11974009413090421	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	KCNK7.1	-0.1173190080600439	0.1173190080600439	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	CHST12.14	0.11492960843838809	0.11492960843838809	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TRIP13.2	-0.11445020338817587	0.11445020338817587	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_243982	-0.1112388883915646	0.1112388883915646	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	DEAF1.18	0.11046688619683782	0.11046688619683782	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TRIP13.5	-0.10940337302817055	0.10940337302817055	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_107122	-0.10755473956566708	0.10755473956566708	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	RAB40C.27	0.10191273258349681	0.10191273258349681	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_344114	-0.09882468221676986	0.09882468221676986	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_312266	-0.09860933704022297	0.09860933704022297	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	ZDHHC1.9	0.09511907266855536	0.09511907266855536	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TBCD.120	-0.09436908793892405	0.09436908793892405	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	SEC14L1.13	-0.08697896193450028	0.08697896193450028	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	TRIP13.9	-0.0867132876305279	0.0867132876305279	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	NKX2-1.13	0.0844288931170601	0.0844288931170601	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	NUP210L.3	0.08324044916829916	0.08324044916829916	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	CHST12.16	0.08251175358210808	0.08251175358210808	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_277469	0.0812376342721296	0.0812376342721296	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
DNA methylation	1	feature_223637	-0.07983494026898072	0.07983494026898072	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
