layer	component	feature	loading	abs_loading	selected	fold	model_label	integration
DNA methylation	2	feature_273264	-0.2045773026712726	0.2045773026712726	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	feature_20962	-0.14466854348092065	0.14466854348092065	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	feature_325412	-0.11442122853762685	0.11442122853762685	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	feature_377561	-0.10550925884075309	0.10550925884075309	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	feature_295235	-0.10545502417316396	0.10545502417316396	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	feature_90515	-0.03335775271376877	0.03335775271376877	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
DNA methylation	2	MYT1L.86	-0.005864583697858003	0.005864583697858003	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	TFRC|TFRC	0.4174909541528889	0.4174909541528889	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	PIK3CA |PI3K-p110-alpha	0.29030349383119447	0.29030349383119447	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	NDRG1|NDRG1_pT346	0.279528793028675	0.279528793028675	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	IGFBP2|IGFBP2	0.2379359137209906	0.2379359137209906	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	ERBB3|HER3	-0.22298966336883339	0.22298966336883339	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	MAPK9|JNK2	-0.21940544211176888	0.21940544211176888	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	ERBB2|HER2	-0.20372153460334613	0.20372153460334613	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
