model_label	FPR	TPR
Early fusion + Elastic Net	0.0031645569620253333	0.8565737051792829
Early fusion + Elastic Net	0.0031645569620253333	0.8605577689243028
Early fusion + Elastic Net	0.0031645569620253333	0.8645418326693227
Early fusion + Elastic Net	0.006329113924050667	0.8645418326693227
Early fusion + Elastic Net	0.006329113924050667	0.8685258964143426
Early fusion + Elastic Net	0.006329113924050667	0.8725099601593626
Early fusion + Elastic Net	0.006329113924050667	0.8764940239043825
Early fusion + Elastic Net	0.009493670886076	0.8764940239043825
Early fusion + Elastic Net	0.009493670886076	0.8804780876494024
Early fusion + Elastic Net	0.009493670886076	0.8844621513944223
Early fusion + Elastic Net	0.009493670886076	0.8884462151394422
Early fusion + Elastic Net	0.009493670886076	0.8924302788844621
Early fusion + Elastic Net	0.009493670886076	0.896414342629482
Early fusion + Elastic Net	0.009493670886076	0.900398406374502
Early fusion + Elastic Net	0.009493670886076	0.9043824701195219
Early fusion + Elastic Net	0.009493670886076	0.9083665338645418
Early fusion + Elastic Net	0.012658227848101222	0.9083665338645418
Early fusion + Elastic Net	0.015822784810126556	0.9083665338645418
Early fusion + Elastic Net	0.015822784810126556	0.9123505976095617
Early fusion + Elastic Net	0.015822784810126556	0.9163346613545816
Early fusion + Elastic Net	0.015822784810126556	0.9203187250996016
Early fusion + Elastic Net	0.015822784810126556	0.9243027888446215
Early fusion + Elastic Net	0.015822784810126556	0.9282868525896414
Early fusion + Elastic Net	0.015822784810126556	0.9322709163346613
Early fusion + Elastic Net	0.015822784810126556	0.9362549800796812
Early fusion + Elastic Net	0.01898734177215189	0.9362549800796812
Early fusion + Elastic Net	0.022151898734177222	0.9362549800796812
Early fusion + Elastic Net	0.022151898734177222	0.9402390438247012
Early fusion + Elastic Net	0.025316455696202556	0.9402390438247012
Early fusion + Elastic Net	0.025316455696202556	0.9442231075697212
Early fusion + Elastic Net	0.02848101265822789	0.9442231075697212
Early fusion + Elastic Net	0.02848101265822789	0.9482071713147411
Early fusion + Elastic Net	0.03164556962025311	0.9482071713147411
Early fusion + Elastic Net	0.034810126582278444	0.9482071713147411
Early fusion + Elastic Net	0.03797468354430378	0.9482071713147411
Early fusion + Elastic Net	0.04113924050632911	0.9482071713147411
Early fusion + Elastic Net	0.04113924050632911	0.952191235059761
Early fusion + Elastic Net	0.04113924050632911	0.9561752988047809
Early fusion + Elastic Net	0.044303797468354444	0.9561752988047809
Early fusion + Elastic Net	0.04746835443037978	0.9561752988047809
Early fusion + Elastic Net	0.04746835443037978	0.9601593625498008
Early fusion + Elastic Net	0.04746835443037978	0.9641434262948207
Early fusion + Elastic Net	0.05063291139240511	0.9641434262948207
Early fusion + Elastic Net	0.05379746835443033	0.9641434262948207
Early fusion + Elastic Net	0.05696202531645567	0.9641434262948207
Early fusion + Elastic Net	0.05696202531645567	0.9681274900398407
Early fusion + Elastic Net	0.060126582278481	0.9681274900398407
Early fusion + Elastic Net	0.06329113924050633	0.9681274900398407
Early fusion + Elastic Net	0.06645569620253167	0.9681274900398407
Early fusion + Elastic Net	0.069620253164557	0.9681274900398407
Early fusion + Elastic Net	0.07278481012658233	0.9681274900398407
Early fusion + Elastic Net	0.07594936708860756	0.9681274900398407
Early fusion + Elastic Net	0.07911392405063289	0.9681274900398407
Early fusion + Elastic Net	0.08227848101265822	0.9681274900398407
Early fusion + Elastic Net	0.08544303797468356	0.9681274900398407
Early fusion + Elastic Net	0.08860759493670889	0.9681274900398407
Early fusion + Elastic Net	0.08860759493670889	0.9721115537848606
Early fusion + Elastic Net	0.09177215189873422	0.9721115537848606
Early fusion + Elastic Net	0.09493670886075944	0.9721115537848606
Early fusion + Elastic Net	0.09810126582278478	0.9721115537848606
Early fusion + Elastic Net	0.10126582278481011	0.9721115537848606
Early fusion + Elastic Net	0.10443037974683544	0.9721115537848606
Early fusion + Elastic Net	0.10759493670886078	0.9721115537848606
Early fusion + Elastic Net	0.11075949367088611	0.9721115537848606
Early fusion + Elastic Net	0.11392405063291144	0.9721115537848606
Early fusion + Elastic Net	0.11708860759493667	0.9721115537848606
Early fusion + Elastic Net	0.11708860759493667	0.9760956175298805
Early fusion + Elastic Net	0.120253164556962	0.9760956175298805
Early fusion + Elastic Net	0.12341772151898733	0.9760956175298805
Early fusion + Elastic Net	0.12658227848101267	0.9760956175298805
Early fusion + Elastic Net	0.129746835443038	0.9760956175298805
Early fusion + Elastic Net	0.13291139240506333	0.9760956175298805
Early fusion + Elastic Net	0.13607594936708856	0.9760956175298805
Early fusion + Elastic Net	0.1392405063291139	0.9760956175298805
Early fusion + Elastic Net	0.14240506329113922	0.9760956175298805
Early fusion + Elastic Net	0.14556962025316456	0.9760956175298805
Early fusion + Elastic Net	0.1487341772151899	0.9760956175298805
Early fusion + Elastic Net	0.1487341772151899	0.9800796812749004
Early fusion + Elastic Net	0.15189873417721522	0.9800796812749004
Early fusion + Elastic Net	0.15506329113924056	0.9800796812749004
Early fusion + Elastic Net	0.15822784810126578	0.9800796812749004
Early fusion + Elastic Net	0.1613924050632911	0.9800796812749004
Early fusion + Elastic Net	0.16455696202531644	0.9800796812749004
Early fusion + Elastic Net	0.16772151898734178	0.9800796812749004
Early fusion + Elastic Net	0.1708860759493671	0.9800796812749004
Early fusion + Elastic Net	0.17405063291139244	0.9800796812749004
Early fusion + Elastic Net	0.17405063291139244	0.9840637450199203
Early fusion + Elastic Net	0.17721518987341767	0.9840637450199203
Early fusion + Elastic Net	0.180379746835443	0.9840637450199203
Early fusion + Elastic Net	0.18354430379746833	0.9840637450199203
Early fusion + Elastic Net	0.18670886075949367	0.9840637450199203
Early fusion + Elastic Net	0.189873417721519	0.9840637450199203
Early fusion + Elastic Net	0.19303797468354433	0.9840637450199203
Early fusion + Elastic Net	0.19620253164556967	0.9840637450199203
Early fusion + Elastic Net	0.1993670886075949	0.9840637450199203
Early fusion + Elastic Net	0.20253164556962022	0.9840637450199203
Early fusion + Elastic Net	0.20569620253164556	0.9840637450199203
Early fusion + Elastic Net	0.2088607594936709	0.9840637450199203
Early fusion + Elastic Net	0.21202531645569622	0.9840637450199203
Early fusion + Elastic Net	0.21518987341772156	0.9840637450199203
Early fusion + Elastic Net	0.2183544303797469	0.9840637450199203
Early fusion + Elastic Net	0.2215189873417721	0.9840637450199203
Early fusion + Elastic Net	0.22468354430379744	0.9840637450199203
Early fusion + Elastic Net	0.22784810126582278	0.9840637450199203
Early fusion + Elastic Net	0.2310126582278481	0.9840637450199203
Early fusion + Elastic Net	0.23417721518987344	0.9840637450199203
Early fusion + Elastic Net	0.23417721518987344	0.9880478087649402
Early fusion + Elastic Net	0.23734177215189878	0.9880478087649402
Early fusion + Elastic Net	0.240506329113924	0.9880478087649402
Early fusion + Elastic Net	0.240506329113924	0.9920318725099602
Early fusion + Elastic Net	0.24367088607594933	0.9920318725099602
Early fusion + Elastic Net	0.24683544303797467	0.9920318725099602
Early fusion + Elastic Net	0.25	0.9920318725099602
Early fusion + Elastic Net	0.25316455696202533	0.9920318725099602
Early fusion + Elastic Net	0.25632911392405067	0.9920318725099602
Early fusion + Elastic Net	0.259493670886076	0.9920318725099602
Early fusion + Elastic Net	0.2626582278481012	0.9920318725099602
Early fusion + Elastic Net	0.26582278481012656	0.9920318725099602
Early fusion + Elastic Net	0.26582278481012656	0.9960159362549801
Early fusion + Elastic Net	0.2689873417721519	0.9960159362549801
Early fusion + Elastic Net	0.2721518987341772	0.9960159362549801
Early fusion + Elastic Net	0.27531645569620256	0.9960159362549801
Early fusion + Elastic Net	0.2784810126582279	0.9960159362549801
Early fusion + Elastic Net	0.2816455696202531	0.9960159362549801
Early fusion + Elastic Net	0.28481012658227844	0.9960159362549801
Early fusion + Elastic Net	0.2879746835443038	0.9960159362549801
Early fusion + Elastic Net	0.2911392405063291	0.9960159362549801
Early fusion + Elastic Net	0.29430379746835444	0.9960159362549801
Early fusion + Elastic Net	0.2974683544303798	0.9960159362549801
Early fusion + Elastic Net	0.2974683544303798	1
Early fusion + Elastic Net	0.3006329113924051	1
Early fusion + Elastic Net	0.30379746835443033	1
Early fusion + Elastic Net	0.30696202531645567	1
Early fusion + Elastic Net	0.310126582278481	1
Early fusion + Elastic Net	0.31329113924050633	1
Early fusion + Elastic Net	0.31645569620253167	1
Early fusion + Elastic Net	0.319620253164557	1
Early fusion + Elastic Net	0.32278481012658233	1
Early fusion + Elastic Net	0.32594936708860756	1
Early fusion + Elastic Net	0.3291139240506329	1
Early fusion + Elastic Net	0.3322784810126582	1
Early fusion + Elastic Net	0.33544303797468356	1
Early fusion + Elastic Net	0.3386075949367089	1
Early fusion + Elastic Net	0.3417721518987342	1
Early fusion + Elastic Net	0.34493670886075944	1
Early fusion + Elastic Net	0.3481012658227848	1
Early fusion + Elastic Net	0.3512658227848101	1
Early fusion + Elastic Net	0.35443037974683544	1
Early fusion + Elastic Net	0.3575949367088608	1
Early fusion + Elastic Net	0.3607594936708861	1
Early fusion + Elastic Net	0.36392405063291144	1
Early fusion + Elastic Net	0.36708860759493667	1
Early fusion + Elastic Net	0.370253164556962	1
Early fusion + Elastic Net	0.37341772151898733	1
Early fusion + Elastic Net	0.37658227848101267	1
Early fusion + Elastic Net	0.379746835443038	1
Early fusion + Elastic Net	0.38291139240506333	1
Early fusion + Elastic Net	0.38607594936708856	1
