layer	model	FPR	TPR
mRNA	Elastic Net	0.0031645569620253333	0.16334661354581673
mRNA	Elastic Net	0.0031645569620253333	0.16733067729083664
mRNA	Elastic Net	0.0031645569620253333	0.17131474103585656
mRNA	Elastic Net	0.0031645569620253333	0.1752988047808765
mRNA	Elastic Net	0.0031645569620253333	0.17928286852589642
mRNA	Elastic Net	0.0031645569620253333	0.18326693227091634
mRNA	Elastic Net	0.0031645569620253333	0.18725099601593626
mRNA	Elastic Net	0.0031645569620253333	0.19123505976095617
mRNA	Elastic Net	0.0031645569620253333	0.1952191235059761
mRNA	Elastic Net	0.0031645569620253333	0.199203187250996
mRNA	Elastic Net	0.0031645569620253333	0.20318725099601595
mRNA	Elastic Net	0.0031645569620253333	0.20717131474103587
mRNA	Elastic Net	0.0031645569620253333	0.21115537848605578
mRNA	Elastic Net	0.0031645569620253333	0.2151394422310757
mRNA	Elastic Net	0.0031645569620253333	0.21912350597609562
mRNA	Elastic Net	0.0031645569620253333	0.22310756972111553
mRNA	Elastic Net	0.0031645569620253333	0.22709163346613545
mRNA	Elastic Net	0.0031645569620253333	0.23107569721115537
mRNA	Elastic Net	0.0031645569620253333	0.2350597609561753
mRNA	Elastic Net	0.0031645569620253333	0.23904382470119523
mRNA	Elastic Net	0.0031645569620253333	0.24302788844621515
mRNA	Elastic Net	0.0031645569620253333	0.24701195219123506
mRNA	Elastic Net	0.0031645569620253333	0.250996015936255
mRNA	Elastic Net	0.0031645569620253333	0.2549800796812749
mRNA	Elastic Net	0.0031645569620253333	0.2589641434262948
mRNA	Elastic Net	0.0031645569620253333	0.26294820717131473
mRNA	Elastic Net	0.0031645569620253333	0.26693227091633465
mRNA	Elastic Net	0.0031645569620253333	0.27091633466135456
mRNA	Elastic Net	0.0031645569620253333	0.2749003984063745
mRNA	Elastic Net	0.0031645569620253333	0.2788844621513944
mRNA	Elastic Net	0.0031645569620253333	0.28286852589641437
mRNA	Elastic Net	0.0031645569620253333	0.2868525896414343
mRNA	Elastic Net	0.0031645569620253333	0.2908366533864542
mRNA	Elastic Net	0.0031645569620253333	0.2948207171314741
mRNA	Elastic Net	0.0031645569620253333	0.29880478087649404
mRNA	Elastic Net	0.0031645569620253333	0.30278884462151395
mRNA	Elastic Net	0.0031645569620253333	0.30677290836653387
mRNA	Elastic Net	0.0031645569620253333	0.3107569721115538
mRNA	Elastic Net	0.0031645569620253333	0.3147410358565737
mRNA	Elastic Net	0.0031645569620253333	0.3187250996015936
mRNA	Elastic Net	0.0031645569620253333	0.32270916334661354
mRNA	Elastic Net	0.0031645569620253333	0.32669322709163345
mRNA	Elastic Net	0.0031645569620253333	0.33067729083665337
mRNA	Elastic Net	0.0031645569620253333	0.3346613545816733
mRNA	Elastic Net	0.0031645569620253333	0.3386454183266932
mRNA	Elastic Net	0.0031645569620253333	0.3426294820717131
mRNA	Elastic Net	0.0031645569620253333	0.3466135458167331
mRNA	Elastic Net	0.0031645569620253333	0.350597609561753
mRNA	Elastic Net	0.0031645569620253333	0.3545816733067729
mRNA	Elastic Net	0.0031645569620253333	0.35856573705179284
mRNA	Elastic Net	0.0031645569620253333	0.36254980079681276
mRNA	Elastic Net	0.0031645569620253333	0.3665338645418327
mRNA	Elastic Net	0.0031645569620253333	0.3705179282868526
mRNA	Elastic Net	0.0031645569620253333	0.3745019920318725
mRNA	Elastic Net	0.0031645569620253333	0.3784860557768924
mRNA	Elastic Net	0.0031645569620253333	0.38247011952191234
mRNA	Elastic Net	0.0031645569620253333	0.38645418326693226
mRNA	Elastic Net	0.0031645569620253333	0.3904382470119522
mRNA	Elastic Net	0.0031645569620253333	0.3944223107569721
mRNA	Elastic Net	0.0031645569620253333	0.398406374501992
mRNA	Elastic Net	0.0031645569620253333	0.40239043824701193
mRNA	Elastic Net	0.0031645569620253333	0.4063745019920319
mRNA	Elastic Net	0.0031645569620253333	0.4103585657370518
mRNA	Elastic Net	0.0031645569620253333	0.41434262948207173
mRNA	Elastic Net	0.0031645569620253333	0.41832669322709165
mRNA	Elastic Net	0.0031645569620253333	0.42231075697211157
mRNA	Elastic Net	0.0031645569620253333	0.4262948207171315
mRNA	Elastic Net	0.0031645569620253333	0.4302788844621514
mRNA	Elastic Net	0.0031645569620253333	0.4342629482071713
mRNA	Elastic Net	0.0031645569620253333	0.43824701195219123
mRNA	Elastic Net	0.0031645569620253333	0.44223107569721115
mRNA	Elastic Net	0.0031645569620253333	0.44621513944223107
mRNA	Elastic Net	0.0031645569620253333	0.450199203187251
mRNA	Elastic Net	0.0031645569620253333	0.4541832669322709
