layer	value
mRNA	835.016999999999
mRNA	35.3805
mRNA	82.2785
mRNA	734.994
mRNA	36.6972
mRNA	93.4401
mRNA	34.2957
mRNA	0
mRNA	986.568
mRNA	0
mRNA	0.9447
mRNA	3112.46
mRNA	976.348
mRNA	0
mRNA	176.78
mRNA	0
mRNA	0
mRNA	25.247
mRNA	2174.46
mRNA	61.8389
mRNA	2756.26
mRNA	494.734
mRNA	5.3122
mRNA	1207.49
mRNA	146.292
mRNA	1100.64
mRNA	180.23
mRNA	16.4997
mRNA	35.1243
mRNA	1631.87
mRNA	733.039
mRNA	322.72
mRNA	107.354
mRNA	1201.64
mRNA	3985.82
mRNA	2184.64
mRNA	4.3996
mRNA	4.1563
mRNA	209.677
mRNA	6.5388
mRNA	0
mRNA	110.503
mRNA	185.37
mRNA	374.635
mRNA	3309.58
mRNA	0
mRNA	269.594
mRNA	131.833
mRNA	1224.63
mRNA	0
mRNA	0
mRNA	0
mRNA	0
mRNA	1394.44
mRNA	2911
mRNA	38.4858
mRNA	0
mRNA	1646.28
mRNA	1648.04
mRNA	484.946
mRNA	0
mRNA	425.549
mRNA	521.676
mRNA	755.051
mRNA	671.421
mRNA	262.969
mRNA	420.801
mRNA	1557.87
mRNA	5.6782
mRNA	7.5122
mRNA	25.2568
mRNA	5.5484
mRNA	764.103
mRNA	35.4621
mRNA	0
mRNA	529.62
mRNA	0
mRNA	1678.9
mRNA	309.4
mRNA	9.1241
mRNA	398.606
mRNA	14.1528
mRNA	1517.77
mRNA	3421.33
mRNA	192.221
mRNA	10.1351
mRNA	184.585
mRNA	777.007
mRNA	529.07
mRNA	361.307
mRNA	1598.72
mRNA	944.656000000001
mRNA	357.844
mRNA	7.98
mRNA	1977.95
mRNA	57.6682
mRNA	617.726
mRNA	270.1
mRNA	1252.5
mRNA	0.263
mRNA	0
mRNA	5.4979
mRNA	1.6132
mRNA	72.236
mRNA	5299.3
mRNA	3.1566
mRNA	1301.56
mRNA	264.097
mRNA	633.057
mRNA	299.034
mRNA	0
mRNA	1075.45
mRNA	122.117
mRNA	501.914
mRNA	1549.29
mRNA	0
mRNA	2158.63
mRNA	206.409
mRNA	559.069
mRNA	618.787
mRNA	756.171
mRNA	470.471
mRNA	1682.74
mRNA	40.68
mRNA	972.241
mRNA	43.1563
mRNA	36.3575
mRNA	460.863
mRNA	0
mRNA	855.648
mRNA	1349.87
mRNA	0
mRNA	9308.59
mRNA	867.078
mRNA	3.0015
mRNA	0
mRNA	788.681
mRNA	1569.79
mRNA	255.536
mRNA	306.596
mRNA	1437.12
mRNA	179.55
mRNA	467.829
mRNA	4740.19
mRNA	1055.63
mRNA	100.746
mRNA	1404.68
mRNA	4098.39
mRNA	476.4
mRNA	0
mRNA	52.0512
mRNA	0
mRNA	1.3545
mRNA	17.5229
mRNA	9772.36000000001
mRNA	1.5144
mRNA	451.101
mRNA	0.2222
mRNA	499.896
mRNA	159.933
mRNA	3776.53
mRNA	0
mRNA	29.3735
mRNA	0
mRNA	885.426
mRNA	122.881
mRNA	3.2881
mRNA	0
mRNA	7002.65
mRNA	299.305
mRNA	2062.32
mRNA	25.3102
mRNA	31.1814
mRNA	5.4209
mRNA	1765.71
mRNA	0
mRNA	1903.35
mRNA	1377.28
