layer	PC	PC_number	variance_explained	variance_explained_percent
DNA methylation	PC157	157	9.167132287230816e-4	0.092
DNA methylation	PC158	158	9.114349921767599e-4	0.091
DNA methylation	PC159	159	9.065814849886176e-4	0.091
DNA methylation	PC160	160	9.052740038021676e-4	0.091
DNA methylation	PC161	161	0.00089973625286280225	0.09
DNA methylation	PC162	162	8.954955708014533e-4	0.09
DNA methylation	PC163	163	8.922031173262998e-4	0.089
DNA methylation	PC164	164	8.915396414136142e-4	0.089
DNA methylation	PC165	165	8.863440441359224e-4	0.089
DNA methylation	PC166	166	8.803909341347683e-4	0.088
DNA methylation	PC167	167	8.767572264380634e-4	0.088
DNA methylation	PC168	168	8.72090715576855e-4	0.087
DNA methylation	PC169	169	8.656915431785515e-4	0.087
DNA methylation	PC170	170	8.637273194668254e-4	0.086
DNA methylation	PC171	171	8.586011750101232e-4	0.086
DNA methylation	PC172	172	8.568494385439218e-4	0.086
DNA methylation	PC173	173	8.527586328811601e-4	0.085
DNA methylation	PC174	174	8.472063718054471e-4	0.085
DNA methylation	PC175	175	8.45554396367687e-4	0.085
DNA methylation	PC176	176	8.418278840439608e-4	0.084
DNA methylation	PC177	177	8.354698290101151e-4	0.084
DNA methylation	PC178	178	8.334611062804085e-4	0.083
DNA methylation	PC179	179	8.297291825374223e-4	0.083
DNA methylation	PC180	180	8.257672795563263e-4	0.083
DNA methylation	PC181	181	8.21791574670586e-4	0.082
DNA methylation	PC182	182	8.17420740631726e-4	0.082
DNA methylation	PC183	183	8.155551317536087e-4	0.082
DNA methylation	PC184	184	8.124056024789702e-4	0.081
DNA methylation	PC185	185	8.061138867897446e-4	0.081
DNA methylation	PC186	186	8.045688239322274e-4	0.08
DNA methylation	PC187	187	8.027743683787272e-4	0.08
DNA methylation	PC188	188	7.988301065680813e-4	0.08
DNA methylation	PC189	189	7.96138542874895e-4	0.08
DNA methylation	PC190	190	7.940847099838406e-4	0.079
DNA methylation	PC191	191	7.88209293206083e-4	0.079
DNA methylation	PC192	192	7.837930103967813e-4	0.078
DNA methylation	PC193	193	7.811440407082112e-4	0.078
DNA methylation	PC194	194	7.7640588558871e-4	0.078
DNA methylation	PC195	195	7.733481195787677e-4	0.077
DNA methylation	PC196	196	7.719305950377847e-4	0.077
DNA methylation	PC197	197	7.675680022455762e-4	0.077
DNA methylation	PC198	198	7.623450886007802e-4	0.076
DNA methylation	PC199	199	7.614938367892088e-4	0.076
DNA methylation	PC200	200	7.592559444929468e-4	0.076
DNA methylation	PC201	201	7.562309414891086e-4	0.076
DNA methylation	PC202	202	7.554818929258853e-4	0.076
DNA methylation	PC203	203	7.492052108675933e-4	0.075
DNA methylation	PC204	204	7.444781855515987e-4	0.074
DNA methylation	PC205	205	7.436462192959058e-4	0.074
DNA methylation	PC206	206	7.396650055815348e-4	0.074
DNA methylation	PC207	207	7.36266529679263e-4	0.074
DNA methylation	PC208	208	7.352505477823196e-4	0.074
DNA methylation	PC209	209	7.286661664588462e-4	0.073
DNA methylation	PC210	210	7.251469934994614e-4	0.073
DNA methylation	PC211	211	7.222553173001371e-4	0.072
DNA methylation	PC212	212	7.197307649345827e-4	0.072
DNA methylation	PC213	213	7.185059331468131e-4	0.072
DNA methylation	PC214	214	7.16612352167868e-4	0.072
DNA methylation	PC215	215	7.147191833836098e-4	0.071
DNA methylation	PC216	216	7.143500910863282e-4	0.071
DNA methylation	PC217	217	7.058616692832007e-4	0.071
DNA methylation	PC218	218	7.041556345868927e-4	0.07
DNA methylation	PC219	219	7.01230987909733e-4	0.07
DNA methylation	PC220	220	6.982081704727108e-4	0.07
DNA methylation	PC221	221	6.958235803226116e-4	0.07
DNA methylation	PC222	222	6.940707315368141e-4	0.069
DNA methylation	PC223	223	6.889499887163496e-4	0.069
DNA methylation	PC224	224	6.839708666072969e-4	0.068
DNA methylation	PC225	225	6.814513242922917e-4	0.068
DNA methylation	PC226	226	6.791700404798855e-4	0.068
DNA methylation	PC227	227	6.7661258959077e-4	0.068
DNA methylation	PC228	228	6.756954435046898e-4	0.068
DNA methylation	PC229	229	6.744905161911969e-4	0.067
DNA methylation	PC230	230	6.715354838217014e-4	0.067
DNA methylation	PC231	231	6.702595938153132e-4	0.067
DNA methylation	PC232	232	6.658592835026254e-4	0.067
DNA methylation	PC233	233	6.620281097965814e-4	0.066
DNA methylation	PC234	234	6.59825045310243e-4	0.066
DNA methylation	PC235	235	6.58026785205334e-4	0.066
DNA methylation	PC236	236	6.546564178332721e-4	0.065
DNA methylation	PC237	237	6.534190834719448e-4	0.065
DNA methylation	PC238	238	6.483944152878093e-4	0.065
DNA methylation	PC239	239	6.463816228941443e-4	0.065
DNA methylation	PC240	240	6.456052257386985e-4	0.065
DNA methylation	PC241	241	6.426985032106762e-4	0.064
DNA methylation	PC242	242	6.421318486575088e-4	0.064
DNA methylation	PC243	243	6.392595707023389e-4	0.064
DNA methylation	PC244	244	6.370475868504404e-4	0.064
DNA methylation	PC245	245	6.365159221082698e-4	0.064
DNA methylation	PC246	246	6.316727117848971e-4	0.063
DNA methylation	PC247	247	6.308949927199118e-4	0.063
DNA methylation	PC248	248	6.278312485124018e-4	0.063
DNA methylation	PC249	249	6.215823788550555e-4	0.062
DNA methylation	PC250	250	6.184826588891996e-4	0.062
DNA methylation	PC251	251	6.180882695692826e-4	0.062
DNA methylation	PC252	252	6.165654660617492e-4	0.062
DNA methylation	PC253	253	6.124707873192155e-4	0.061
DNA methylation	PC254	254	6.100707350395223e-4	0.061
DNA methylation	PC255	255	6.089394436599032e-4	0.061
DNA methylation	PC256	256	6.069383915942546e-4	0.061
DNA methylation	PC257	257	6.043845482149761e-4	0.06
DNA methylation	PC258	258	6.040342554591616e-4	0.06
DNA methylation	PC259	259	5.998997311761401e-4	0.06
DNA methylation	PC260	260	5.983272797572547e-4	0.06
DNA methylation	PC261	261	5.969900014633629e-4	0.06
DNA methylation	PC262	262	5.920729240935487e-4	0.059
DNA methylation	PC263	263	5.909982184007408e-4	0.059
DNA methylation	PC264	264	5.870986141386225e-4	0.059
DNA methylation	PC265	265	5.861514526226443e-4	0.059
DNA methylation	PC266	266	5.822043367375187e-4	0.058
DNA methylation	PC267	267	5.814660311593358e-4	0.058
DNA methylation	PC268	268	5.79177746354749e-4	0.058
DNA methylation	PC269	269	5.765561297458465e-4	0.058
DNA methylation	PC270	270	5.713937063969913e-4	0.057
DNA methylation	PC271	271	5.701647029389624e-4	0.057
DNA methylation	PC272	272	5.673363839171249e-4	0.057
DNA methylation	PC273	273	5.642448334347501e-4	0.056
DNA methylation	PC274	274	5.634908792497273e-4	0.056
DNA methylation	PC275	275	5.618664613432547e-4	0.056
DNA methylation	PC276	276	5.592750293111704e-4	0.056
DNA methylation	PC277	277	5.567596472150915e-4	0.056
DNA methylation	PC278	278	5.558866912112235e-4	0.056
DNA methylation	PC279	279	5.516377782055215e-4	0.055
DNA methylation	PC280	280	5.514637846002852e-4	0.055
DNA methylation	PC281	281	5.48976592857145e-4	0.055
DNA methylation	PC282	282	5.443569714835772e-4	0.054
DNA methylation	PC283	283	5.436264895785638e-4	0.054
DNA methylation	PC284	284	5.426865842348314e-4	0.054
DNA methylation	PC285	285	5.391076918267685e-4	0.054
DNA methylation	PC286	286	5.352803588246954e-4	0.054
DNA methylation	PC287	287	5.351851148537827e-4	0.054
DNA methylation	PC288	288	5.330159114858465e-4	0.053
DNA methylation	PC289	289	5.325630166542704e-4	0.053
DNA methylation	PC290	290	5.29874857576703e-4	0.053
DNA methylation	PC291	291	5.260340443047721e-4	0.053
DNA methylation	PC292	292	5.252586826479901e-4	0.053
DNA methylation	PC293	293	5.246372182585224e-4	0.052
DNA methylation	PC294	294	5.230770494967429e-4	0.052
DNA methylation	PC295	295	5.213688091325768e-4	0.052
DNA methylation	PC296	296	5.185721032508765e-4	0.052
DNA methylation	PC297	297	5.147553046120764e-4	0.051
DNA methylation	PC298	298	5.108721083070931e-4	0.051
DNA methylation	PC299	299	5.096702373652142e-4	0.051
DNA methylation	PC300	300	5.074257760748056e-4	0.051
DNA methylation	PC301	301	5.049830740476179e-4	0.05
DNA methylation	PC302	302	5.036335475578196e-4	0.05
DNA methylation	PC303	303	5.018302917735792e-4	0.05
DNA methylation	PC304	304	4.995368200393172e-4	0.05
DNA methylation	PC305	305	4.970271254178609e-4	0.05
DNA methylation	PC306	306	4.962153821325201e-4	0.05
DNA methylation	PC307	307	4.948838579923072e-4	0.049
DNA methylation	PC308	308	4.917758753325196e-4	0.049
DNA methylation	PC309	309	4.886351974237195e-4	0.049
DNA methylation	PC310	310	4.877499414823751e-4	0.049
DNA methylation	PC311	311	4.8568196140130347e-4	0.049
DNA methylation	PC312	312	4.8477858154555254e-4	0.048
DNA methylation	PC313	313	4.8282612719250837e-4	0.048
DNA methylation	PC314	314	0.00048091188607197576	0.048
DNA methylation	PC315	315	4.772333044852239e-4	0.048
DNA methylation	PC316	316	4.737622912332676e-4	0.047
DNA methylation	PC317	317	4.7343046921175446e-4	0.047
DNA methylation	PC318	318	4.7152718375133637e-4	0.047
DNA methylation	PC319	319	4.7029914809559745e-4	0.047
DNA methylation	PC320	320	4.6884560890982785e-4	0.047
DNA methylation	PC321	321	4.667890728275733e-4	0.047
DNA methylation	PC322	322	4.6508656518120015e-4	0.047
DNA methylation	PC323	323	4.6423132152606766e-4	0.046
DNA methylation	PC324	324	4.632564965381821e-4	0.046
DNA methylation	PC325	325	4.613796459367645e-4	0.046
DNA methylation	PC326	326	4.595618456736024e-4	0.046
DNA methylation	PC327	327	4.584238102402419e-4	0.046
DNA methylation	PC328	328	4.556514382314174e-4	0.046
DNA methylation	PC329	329	4.537708096830351e-4	0.045
DNA methylation	PC330	330	4.5227214499557266e-4	0.045
DNA methylation	PC331	331	4.471731470258031e-4	0.045
DNA methylation	PC332	332	4.445825800217203e-4	0.044
DNA methylation	PC333	333	4.437262705083035e-4	0.044
DNA methylation	PC334	334	4.414632145902153e-4	0.044
DNA methylation	PC335	335	4.4054180538940997e-4	0.044
DNA methylation	PC336	336	4.3979291367477586e-4	0.044
DNA methylation	PC337	337	4.364205766669163e-4	0.044
DNA methylation	PC338	338	4.361801246044094e-4	0.044
DNA methylation	PC339	339	4.330980927373404e-4	0.043
DNA methylation	PC340	340	4.326752866358247e-4	0.043
DNA methylation	PC341	341	4.304004765122611e-4	0.043
DNA methylation	PC342	342	4.2853908031267087e-4	0.043
DNA methylation	PC343	343	4.26356448616495e-4	0.043
DNA methylation	PC344	344	4.251669415548354e-4	0.043
DNA methylation	PC345	345	4.245706147545589e-4	0.042
DNA methylation	PC346	346	4.2265258749166554e-4	0.042
DNA methylation	PC347	347	4.2086352573420855e-4	0.042
DNA methylation	PC348	348	4.1977051130466866e-4	0.042
DNA methylation	PC349	349	4.174440448699083e-4	0.042
DNA methylation	PC350	350	4.1528338433968016e-4	0.042
DNA methylation	PC351	351	4.1303264185571633e-4	0.041
DNA methylation	PC352	352	4.115409978691038e-4	0.041
DNA methylation	PC353	353	4.101164130846154e-4	0.041
DNA methylation	PC354	354	4.090844514343763e-4	0.041
DNA methylation	PC355	355	4.076798062617038e-4	0.041
DNA methylation	PC356	356	4.0517381315149025e-4	0.041
DNA methylation	PC357	357	4.0470404086644687e-4	0.04
DNA methylation	PC358	358	4.028420576889852e-4	0.04
DNA methylation	PC359	359	4.0243202256194665e-4	0.04
DNA methylation	PC360	360	4.0092707670439493e-4	0.04
DNA methylation	PC361	361	3.989316907370037e-4	0.04
DNA methylation	PC362	362	3.968760594537937e-4	0.04
DNA methylation	PC363	363	3.9511693055122314e-4	0.04
DNA methylation	PC364	364	3.935634214665744e-4	0.039
DNA methylation	PC365	365	3.9106848740447843e-4	0.039
DNA methylation	PC366	366	3.902270149300767e-4	0.039
DNA methylation	PC367	367	3.8889826058636e-4	0.039
DNA methylation	PC368	368	3.879014055363816e-4	0.039
DNA methylation	PC369	369	3.8478210297961834e-4	0.038
DNA methylation	PC370	370	3.833684110331838e-4	0.038
DNA methylation	PC371	371	3.8209849937697167e-4	0.038
DNA methylation	PC372	372	3.8147954691178176e-4	0.038
DNA methylation	PC373	373	3.775619874009494e-4	0.038
DNA methylation	PC374	374	3.7704204790426867e-4	0.038
DNA methylation	PC375	375	3.752891105520273e-4	0.038
DNA methylation	PC376	376	3.7389331214657576e-4	0.037
DNA methylation	PC377	377	3.7266370445215657e-4	0.037
DNA methylation	PC378	378	3.7149392276676564e-4	0.037
DNA methylation	PC379	379	3.707027321485535e-4	0.037
DNA methylation	PC380	380	3.680323240353633e-4	0.037
DNA methylation	PC381	381	3.673639227269982e-4	0.037
DNA methylation	PC382	382	3.668979493168035e-4	0.037
DNA methylation	PC383	383	3.6378008196251356e-4	0.036
DNA methylation	PC384	384	3.6352947219215454e-4	0.036
DNA methylation	PC385	385	3.613449895416204e-4	0.036
