layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
DNA methylation	2	feature_249110	4	0.1703158944459557	0.21341792362925616
DNA methylation	2	feature_325412	4	0.15092276282013398	0.12321929783188044
DNA methylation	2	feature_356133	3	0.22068969240224637	0.22596564177977127
DNA methylation	2	feature_3263	3	0.181627579962766	0.17440752990797628
DNA methylation	2	feature_75825	3	0.17359565933497584	0.16786805058996784
DNA methylation	2	feature_169696	3	0.09659649735850737	0.1071467181919658
DNA methylation	2	WDR64	3	0.08896692629211106	0.10426397585530377
DNA methylation	2	MYT1L.86	3	0.0762094153889052	0.047715610694327414
DNA methylation	2	TNIK.28	3	0.0701982618418695	0.07168791991286545
DNA methylation	2	feature_255583	3	0.03220635313321679	0.0394443214441848
DNA methylation	2	HRNBP3.88	2	0.5353867073288027	0.5353867073288027
DNA methylation	2	feature_78913	2	0.3805000551884708	0.3805000551884708
DNA methylation	2	feature_257988	2	0.2107089124545157	0.2107089124545157
DNA methylation	2	feature_273264	2	0.16937337848849682	0.16937337848849682
DNA methylation	2	feature_96529	2	0.15150298211333982	0.15150298211333982
DNA methylation	2	C13orf16	2	0.14841820844193362	0.14841820844193362
DNA methylation	2	PIGB.5	2	0.14377867464733254	0.14377867464733254
DNA methylation	2	feature_390889	2	0.1407624945353789	0.1407624945353789
DNA methylation	2	MIR453;MIR485	2	0.14009622951843903	0.14009622951843903
DNA methylation	2	ADARB2.311	2	0.10750332131143368	0.10750332131143368
DNA methylation	2	feature_29074	2	0.08993313746163804	0.08993313746163804
DNA methylation	2	PDE6B.23	2	0.08254003949582034	0.08254003949582034
DNA methylation	2	B4GALNT2.7	2	0.07731949862213594	0.07731949862213594
DNA methylation	2	feature_299344	2	0.06430428739997537	0.06430428739997537
DNA methylation	2	KCNQ2.28	2	0.06300955741445301	0.06300955741445301
DNA methylation	2	feature_72491	2	0.04623189016436341	0.04623189016436341
DNA methylation	2	feature_361329	2	0.027284199394149236	0.027284199394149236
DNA methylation	2	HRNBP3.89	2	0.017134865697963617	0.017134865697963617
DNA methylation	2	CACNA1H.131	1	0.12195598663574382	0.12195598663574382
DNA methylation	2	SIGIRR.5	1	0.1217266584452821	0.1217266584452821
DNA methylation	2	TNRC6C.23	1	0.12020444747837006	0.12020444747837006
DNA methylation	2	DNAH10.28	1	0.11913308742058186	0.11913308742058186
DNA methylation	2	CARD11.30	1	0.11335680205737096	0.11335680205737096
DNA methylation	2	feature_377561	1	0.10550925884075309	0.10550925884075309
DNA methylation	2	KCNQ2.37	1	0.07203272766714536	0.07203272766714536
DNA methylation	2	feature_81679	1	0.07168529061244298	0.07168529061244298
DNA methylation	2	RIT1.8	1	0.06623897597236048	0.06623897597236048
DNA methylation	2	feature_221038	1	0.05866295226810222	0.05866295226810222
DNA methylation	2	EEF1A2.8	1	0.045560094720793545	0.045560094720793545
DNA methylation	2	SYT7.10	1	0.03717625789408817	0.03717625789408817
DNA methylation	2	ADARB2.273	1	0.0371254073489754	0.0371254073489754
DNA methylation	2	DPEP1.3	1	0.03553583084347396	0.03553583084347396
DNA methylation	2	feature_358630	1	0.02993576579563484	0.02993576579563484
DNA methylation	2	PRDM16.263	1	0.028856230252052445	0.028856230252052445
DNA methylation	2	feature_384101	1	0.026642482128275566	0.026642482128275566
DNA methylation	2	feature_220047	1	0.025941924106082762	0.025941924106082762
DNA methylation	2	ZACN.4	1	0.025800013548922505	0.025800013548922505
DNA methylation	2	PTPRN2.370	1	0.014423070450465154	0.014423070450465154
DNA methylation	2	feature_383219	1	0.012444594019801122	0.012444594019801122
DNA methylation	2	CARD11.28	1	0.011134826101275502	0.011134826101275502
DNA methylation	2	KCTD12	1	0.008088915255774378	0.008088915255774378
DNA methylation	2	feature_199980	1	0.0028096603277661353	0.0028096603277661353
RPPA	1	TFRC|TFRC	5	0.46298395131726794	0.4458583248859507
RPPA	1	PIK3CA |PI3K-p110-alpha	5	0.3027978625769172	0.2893823224875529
